title_long,title,title_abbrev,category,num_scenes,num_chars,genre,pub_date,playwright,copyright,license,licenseurl,source,sourceurl,termsurl,version
All's Well That Ends Well,All's Well That Ends Well,AWW,Canon,25,23,comedy,1602-1603,William Shakespeare and Thomas Middleton,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tragedy of Antony and Cleopatra,Antony and Cleopatra,Ant,Canon,42,66,tragedy,1607-1608,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
As You Like It,As You Like It,AYL,Canon,24,27,comedy,1599,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Comedy of Errors,Comedy of Errors,Err,Canon,11,20,comedy,1593-1594,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tragedy of Coriolanus,Coriolanus,Cor,Canon,29,61,tragedy,1607-1608,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
Cymbeline,Cymbeline,Cym,Canon,27,42,tragedy,1609-1610,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
"Double Falsehood, or The Distressed Lovers",Double Falsehood,DF,Non-canon,14,22,comedy,1727-1728,"William Shakespeare, Lewis Theobald",2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Reign of King Edward the Third,Edward III,Edw,Non-canon,19,52,history,1590-1594,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
"The Tragedy of Hamlet, Prince of Denmark",Hamlet,Ham,Canon,20,33,tragedy,1600-1601,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The First Part of Henry the Fourth,"Henry IV, Pt. 1",1H4,Canon,19,35,history,1596-1597,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Second Part of Henry the Fourth,"Henry IV, Pt. 2",2H4,Canon,22,55,history,1598,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Life of Henry the Fifth,Henry V,H5,Canon,29,48,history,1598-1599,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The First Part of Henry the Sixth,"Henry VI, Pt. 1",1H6,Canon,27,65,history,1589-1590,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Second Part of Henry the Sixth,"Henry VI, Pt. 2",2H6,Canon,24,83,history,1590-1591,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Third Part of Henry the Sixth,"Henry VI, Pt. 3",3H6,Canon,28,57,history,1590-1591,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Famous History of the Life of King Henry the Eighth,Henry VIII,H8,Canon,18,76,history,1612-1613,William Shakespeare and John Fletcher,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tragedy of Julius Caesar,Julius Caesar,JC,Canon,18,51,history,1599,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Life and Death of King John,King John,Jn,Canon,16,28,history,1595-1596,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tragedy of King Lear,King Lear,Lr,Canon,26,29,tragedy,1605,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tragedy of King Richard the Second,King Richard II,R2,Canon,19,39,history,1595,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
Love's Labor's Lost,Love's Labor's Lost,LLL,Canon,9,21,comedy,1595,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tragedy of Macbeth,Macbeth,Mac,Canon,29,42,tragedy,1605-1606,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
Measure for Measure,Measure for Measure,MM,Canon,17,24,comedy,1604,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Merchant of Venice,Merchant of Venice,MV,Canon,20,23,comedy,1594-1597,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Merry Wives of Windsor,Merry Wives of Windsor,Wiv,Canon,23,25,comedy,1597,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
A Midsummer Night's Dream,Midsummer Night's Dream,MND,Canon,9,24,comedy,1595-1596,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
Much Ado About Nothing,Much Ado About Nothing,Ado,Canon,17,23,comedy,1598-1599,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
"The Tragedy of Othello, the Moor of Venice",Othello,Oth,Canon,15,24,tragedy,1604,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
"Pericles, Prince of Tyre",Pericles,Per,Canon,28,60,comedy,1607-1608,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tragedy of Richard the Third,Richard III,R3,Canon,25,63,history,1592-1593,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tragedy of Romeo and Juliet,Romeo and Juliet,Rom,Canon,26,37,tragedy,1594-1596,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
Sir Thomas More,Sir Thomas More,STM,Non-canon,19,63,history,1596,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Taming of the Shrew,Taming of the Shrew,Shr,Canon,14,36,comedy,1593-1594,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tempest,The Tempest,Tmp,Canon,10,19,comedy,1611,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Life of Timon of Athens,Timon of Athens,Tim,Canon,17,50,tragedy,1607-1608,William Shakespeare and Thomas Middleton,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Tragedy of Titus Andronicus,Titus Andronicus,Tit,Canon,14,32,tragedy,1593-1594,William Shakespeare and George Peele,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The History of Troilus and Cressida,Troilus and Cressida,Tro,Canon,25,36,tragedy,1600-1608,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
"Twelfth Night, or What You Will",Twelfth Night,TN,Canon,18,18,comedy,1601-1602,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Two Gentlemen of Verona,Two Gentlemen of Verona,TGV,Canon,20,18,comedy,1592-1594,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Two Noble Kinsmen,Two Noble Kinsmen,TNK,Non-canon,26,46,comedy,1613-1614,William Shakespeare and John Fletcher,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
The Winter's Tale,Winter's Tale,WT,Canon,15,36,comedy,1610-1611,William Shakespeare,2005-2014 by PlayShakespeare.com,GFDL License 1.3,http://www.gnu.org/copyleft/fdl.html,PlayShakespeare.com,http://www.playshakespeare.com,http://www.playshakespeare.com/license,3.6
