title,location,act,scene
All's Well That Ends Well,Another room in the King's palace.,Act 2,Scene 4
All's Well That Ends Well,Another room in the King's palace.,Act 2,Scene 5
All's Well That Ends Well,Camp before Florence.,Act 3,Scene 6
All's Well That Ends Well,Florence. Before the Duke's palace.,Act 3,Scene 3
All's Well That Ends Well,Florence. The Duke's palace.,Act 3,Scene 1
All's Well That Ends Well,Florence. The Widow's house.,Act 3,Scene 7
All's Well That Ends Well,Florence. The Widow's house.,Act 4,Scene 2
All's Well That Ends Well,Florence. The Widow's house.,Act 4,Scene 4
All's Well That Ends Well,Marseilles. A street.,Act 5,Scene 1
All's Well That Ends Well,Paris. The King's palace.,Act 1,Scene 2
All's Well That Ends Well,Paris. The King's palace.,Act 2,Scene 1
All's Well That Ends Well,Paris. The King's palace.,Act 2,Scene 3
All's Well That Ends Well,Rossillion. A room in the Count's palace.,Act 1,Scene 1
All's Well That Ends Well,Rossillion. A room in the Count's palace.,Act 1,Scene 3
All's Well That Ends Well,Rossillion. Before the Count's palace.,Act 5,Scene 2
All's Well That Ends Well,Rossillion. The Count's palace.,Act 2,Scene 2
All's Well That Ends Well,Rossillion. The Count's palace.,Act 3,Scene 4
All's Well That Ends Well,Rossillion. The Count's palace.,Act 4,Scene 5
All's Well That Ends Well,Rossillion. The Count's palace.,Act 5,Scene 3
All's Well That Ends Well,Roussillon. The Count's palace.,Act 3,Scene 2
All's Well That Ends Well,The Florentine camp.,Act 4,Scene 3
All's Well That Ends Well,Without the Florentine camp.,Act 4,Scene 1
All's Well That Ends Well,Without the walls of Florence.,Act 3,Scene 5
Antony and Cleopatra,A plain in Syria.,Act 3,Scene 1
Antony and Cleopatra,A plain near Actium.,Act 3,Scene 8
Antony and Cleopatra,Alexandria. A room in Cleopatra's palace.,Act 1,Scene 1
Antony and Cleopatra,Alexandria. Another room in a monument in Cleopatra's palace.,Act 4,Scene 15
Antony and Cleopatra,Alexandria. Another room in a monument in Cleopatra's palace.,Act 5,Scene 2
Antony and Cleopatra,Alexandria. Another room in Cleopatra's palace.,Act 1,Scene 2
Antony and Cleopatra,Alexandria. Another room in Cleopatra's palace.,Act 1,Scene 3
Antony and Cleopatra,Alexandria. Another room in Cleopatra's palace.,Act 4,Scene 14
Antony and Cleopatra,Alexandria. Before Cleopatra's palace.,Act 4,Scene 3
Antony and Cleopatra,Alexandria. Before Cleopatra's palace.,Act 4,Scene 4
Antony and Cleopatra,Alexandria. Cleopatra's palace.,Act 1,Scene 5
Antony and Cleopatra,Alexandria. Cleopatra's palace.,Act 2,Scene 5
Antony and Cleopatra,Alexandria. Cleopatra's palace.,Act 3,Scene 11
Antony and Cleopatra,Alexandria. Cleopatra's palace.,Act 3,Scene 13
Antony and Cleopatra,Alexandria. Cleopatra's palace.,Act 3,Scene 3
Antony and Cleopatra,Alexandria. Cleopatra's palace.,Act 4,Scene 13
Antony and Cleopatra,Alexandria. Cleopatra's palace.,Act 4,Scene 2
Antony and Cleopatra,Alexandria. Mark Antony's camp.,Act 4,Scene 5
Antony and Cleopatra,Alexandria. Octavius Caesar's camp.,Act 4,Scene 6
Antony and Cleopatra,Alexandria. Octavius Caesar's camp.,Act 4,Scene 9
Antony and Cleopatra,Alexandria. Octavius Caesar's camp.,Act 5,Scene 1
Antony and Cleopatra,Another part of the field of battle between the camps.,Act 4,Scene 11
Antony and Cleopatra,Another part of the field of battle between the camps.,Act 4,Scene 12
Antony and Cleopatra,Another part of the plain near Actium.,Act 3,Scene 10
Antony and Cleopatra,Another part of the plain near Actium.,Act 3,Scene 9
Antony and Cleopatra,Athens. A room in Antony's house.,Act 3,Scene 4
Antony and Cleopatra,Athens. Another room in Antony's house.,Act 3,Scene 5
Antony and Cleopatra,Before Alexandria. Octavius Caesar's camp.,Act 4,Scene 1
Antony and Cleopatra,Egypt. Octavius Caesar's camp.,Act 3,Scene 12
Antony and Cleopatra,Field of battle between the camps.,Act 4,Scene 7
Antony and Cleopatra,Messina. Pompey's house.,Act 2,Scene 1
Antony and Cleopatra,Near Actium. Mark Antony's camp.,Act 3,Scene 7
Antony and Cleopatra,Near Misenum.,Act 2,Scene 6
Antony and Cleopatra,"On board Pompey's galley, off Misenum.",Act 2,Scene 7
Antony and Cleopatra,Rome. A street.,Act 2,Scene 4
Antony and Cleopatra,Rome. An ante-chamber in Octavius Caesar's house.,Act 3,Scene 2
Antony and Cleopatra,Rome. Octavius Caesar's house.,Act 1,Scene 4
Antony and Cleopatra,Rome. Octavius Caesar's house.,Act 2,Scene 3
Antony and Cleopatra,Rome. Octavius Caesar's house.,Act 3,Scene 6
Antony and Cleopatra,Rome. The house of Lepidus.,Act 2,Scene 2
Antony and Cleopatra,The field of battle between the camps.,Act 4,Scene 10
Antony and Cleopatra,Under the walls of Alexandria.,Act 4,Scene 8
As You Like It,A lawn before the Duke's palace.,Act 1,Scene 2
As You Like It,A room in the Duke's palace.,Act 1,Scene 3
As You Like It,An orchard of Oliver's house.,Act 1,Scene 1
As You Like It,Another part of the Forest of Arden.,Act 2,Scene 5
As You Like It,Another part of the Forest of Arden.,Act 2,Scene 6
As You Like It,Another part of the Forest of Arden.,Act 2,Scene 7
As You Like It,Another part of the Forest of Arden.,Act 3,Scene 3
As You Like It,Another part of the Forest of Arden.,Act 3,Scene 4
As You Like It,Another part of the Forest of Arden.,Act 3,Scene 5
As You Like It,Another part of the Forest of Arden.,Act 4,Scene 2
As You Like It,Another part of the Forest of Arden.,Act 4,Scene 3
As You Like It,Another part of the Forest of Arden.,Act 5,Scene 2
As You Like It,Another part of the Forest of Arden.,Act 5,Scene 3
As You Like It,Another part of the Forest of Arden.,Act 5,Scene 4
As You Like It,Before Oliver's house.,Act 2,Scene 3
As You Like It,The Duke's palace.,Act 2,Scene 2
As You Like It,The Duke's palace.,Act 3,Scene 1
As You Like It,The Forest of Arden.,Act 2,Scene 1
As You Like It,The Forest of Arden.,Act 2,Scene 4
As You Like It,The Forest of Arden.,Act 3,Scene 2
As You Like It,The Forest of Arden.,Act 4,Scene 1
As You Like It,The Forest of Arden.,Act 5,Scene 1
Comedy of Errors,A hall in Duke Solinus's Palace.,Act 1,Scene 1
Comedy of Errors,A public place.,Act 2,Scene 2
Comedy of Errors,A public place.,Act 4,Scene 1
Comedy of Errors,A public place.,Act 4,Scene 3
Comedy of Errors,A room in the house of Antipholus of Ephesus.,Act 4,Scene 2
Comedy of Errors,A street before an abbey.,Act 5,Scene 1
Comedy of Errors,A street.,Act 4,Scene 4
Comedy of Errors,Before the house of Antipholus of Ephesus.,Act 3,Scene 1
Comedy of Errors,Before the house of Antipholus of Ephesus.,Act 3,Scene 2
Comedy of Errors,The house of Antipholus of Ephesus.,Act 2,Scene 1
Comedy of Errors,The mart.,Act 1,Scene 2
Coriolanus,A camp near Rome.,Act 4,Scene 7
Coriolanus,A field of battle.,Act 1,Scene 8
Coriolanus,A highway between Rome and Antium.,Act 4,Scene 3
Coriolanus,Antium. A hall in Aufidius' house.,Act 4,Scene 5
Coriolanus,Antium. A public place.,Act 5,Scene 6
Coriolanus,Antium. Before Aufidius' house.,Act 4,Scene 4
Coriolanus,Before Corioli.,Act 1,Scene 4
Coriolanus,Corioli. A street.,Act 1,Scene 5
Coriolanus,Corioli. The Senate-house.,Act 1,Scene 2
Coriolanus,Entrance of the Volscian camp before Rome.,Act 5,Scene 2
Coriolanus,Near Cominius' camp.,Act 1,Scene 6
Coriolanus,Rome. A public place.,Act 2,Scene 1
Coriolanus,Rome. A public place.,Act 4,Scene 6
Coriolanus,Rome. A public place.,Act 5,Scene 1
Coriolanus,Rome. A public place.,Act 5,Scene 4
Coriolanus,Rome. A room in Martius Coriolanus' house.,Act 1,Scene 3
Coriolanus,Rome. A room in Martius Coriolanus' house.,Act 3,Scene 2
Coriolanus,Rome. A street near the city gate.,Act 5,Scene 5
Coriolanus,Rome. A street near the gate of the city.,Act 4,Scene 2
Coriolanus,Rome. A street.,Act 1,Scene 1
Coriolanus,Rome. A street.,Act 3,Scene 1
Coriolanus,Rome. Before a gate of the city.,Act 4,Scene 1
Coriolanus,Rome. The capitol.,Act 2,Scene 2
Coriolanus,Rome. The forum.,Act 2,Scene 3
Coriolanus,Rome. The forum.,Act 3,Scene 3
Coriolanus,The gates of Corioli.,Act 1,Scene 7
Coriolanus,The Roman camp.,Act 1,Scene 9
Coriolanus,The tent of Coriolanus.,Act 5,Scene 3
Coriolanus,The Volscian camp.,Act 1,Scene 10
Cymbeline,Another part of the field of battle between the British and Roman camps.,Act 5,Scene 3
Cymbeline,Before Belarius' cave.,Act 4,Scene 2
Cymbeline,Britain. A hall in Cymbeline's palace.,Act 3,Scene 1
Cymbeline,Britain. A prison.,Act 5,Scene 4
Cymbeline,Britain. A public place.,Act 1,Scene 2
Cymbeline,Britain. A room in Cymbeline's palace.,Act 1,Scene 3
Cymbeline,Britain. A room in Cymbeline's palace.,Act 1,Scene 5
Cymbeline,Britain. A room in Cymbeline's palace.,Act 3,Scene 2
Cymbeline,Britain. A room in Cymbeline's palace.,Act 3,Scene 5
Cymbeline,Britain. A room in Cymbeline's palace.,Act 4,Scene 3
Cymbeline,Britain. An antechamber adjoining Imogen's apartment in Cymbeline's palace.,Act 2,Scene 3
Cymbeline,Britain. Another room in Cymbeline's palace.,Act 1,Scene 6
Cymbeline,Britain. Before Cymbeline's palace.,Act 2,Scene 1
Cymbeline,Britain. Imogen's bedchamber in Cymbeline's palace.,Act 2,Scene 2
Cymbeline,Britain. The garden of Cymbeline's palace.,Act 1,Scene 1
Cymbeline,Britain. The Roman camp.,Act 5,Scene 1
Cymbeline,Cymbeline's tent.,Act 5,Scene 5
Cymbeline,Field of battle between the British and Roman camps.,Act 5,Scene 2
Cymbeline,Rome. A public place.,Act 3,Scene 7
Cymbeline,Rome. A room in Pilario's house.,Act 1,Scene 4
Cymbeline,Rome. Another room in Philario's house.,Act 2,Scene 5
Cymbeline,Rome. Philario's house.,Act 2,Scene 4
Cymbeline,The country near Milford-Haven.,Act 3,Scene 4
Cymbeline,Wales. A mountainous country with a cave.,Act 3,Scene 3
Cymbeline,Wales. Before Belarius' cave.,Act 3,Scene 6
Cymbeline,Wales. The forest near Belarius' cave.,Act 4,Scene 1
Cymbeline,Wales. The forest near Belarius' cave.,Act 4,Scene 4
Double Falsehood,"A wide plain, with a prospect of mountains in the distance.",Act 4,Scene 1
Double Falsehood,An apartment in the lodge.,Act 5,Scene 2
Double Falsehood,An apartment.,Act 2,Scene 2
Double Falsehood,Another part of the prospect of the mountains.,Act 5,Scene 1
Double Falsehood,Another prospect of Don Bernard's house.,Act 2,Scene 4
Double Falsehood,Don Bernard's house.,Act 3,Scene 2
Double Falsehood,Outside an apartment.,Act 1,Scene 3
Double Falsehood,Prospect of a village at a distance.,Act 1,Scene 2
Double Falsehood,Prospect of a village at a distance.,Act 3,Scene 3
Double Falsehood,Prospect of a village. Before Don Bernard's house.,Act 2,Scene 3
Double Falsehood,The prospect of a village.,Act 2,Scene 1
Double Falsehood,The prospect of a village.,Act 3,Scene 1
Double Falsehood,The prospect of the mountains.,Act 4,Scene 2
Double Falsehood,The province of Andalusia in Spain. A royal palace.,Act 1,Scene 1
Edward III,Bretagne. The camp of the English.,Act 4,Scene 1
Edward III,Flanders. The French camp.,Act 3,Scene 1
Edward III,London. A room of state in the palace.,Act 1,Scene 1
Edward III,Picardy. The English camp before Calais.,Act 4,Scene 2
Edward III,Picardy. The English camp before Calais.,Act 5,Scene 1
Edward III,Picardy. The fields near Cressy.,Act 3,Scene 2
Edward III,Picardy. The fields near Cressy.,Act 3,Scene 3
Edward III,Picardy. The fields near Cressy.,Act 3,Scene 4
Edward III,Picardy. The fields near Cressy.,Act 3,Scene 5
Edward III,Poitou. Fields near Poitiers. A part of the field of battle.,Act 4,Scene 6
Edward III,Poitou. Fields near Poitiers. Another part of the field of battle.,Act 4,Scene 7
Edward III,Poitou. Fields near Poitiers. Another part of the field of battle.,Act 4,Scene 8
Edward III,Poitou. Fields near Poitiers. The English camp.,Act 4,Scene 4
Edward III,Poitou. Fields near Poitiers. The English camp.,Act 4,Scene 9
Edward III,Poitou. Fields near Poitiers. The French camp.,Act 4,Scene 5
Edward III,Poitou. Fields near Poitiers. The French camp; tent of the Duke of Normandy.,Act 4,Scene 3
Edward III,Roxborough. Another part of the castle.,Act 2,Scene 2
Edward III,Roxborough. Before the castle.,Act 1,Scene 2
Edward III,Roxborough. The gardens of the castle.,Act 2,Scene 1
Hamlet,Elsinore. A churchyard.,Act 5,Scene 1
Hamlet,Elsinore. A hall in Elsinore castle.,Act 3,Scene 2
Hamlet,Elsinore. A hall in Elsinore castle.,Act 5,Scene 2
Hamlet,Elsinore. A platform before Elsinore castle.,Act 1,Scene 4
Hamlet,Elsinore. A platform before the castle.,Act 1,Scene 1
Hamlet,Elsinore. A room in Elsinore castle.,Act 2,Scene 2
Hamlet,Elsinore. A room in Elsinore castle.,Act 3,Scene 1
Hamlet,Elsinore. A room in Elsinore castle.,Act 3,Scene 3
Hamlet,Elsinore. A room in Elsinore castle.,Act 4,Scene 1
Hamlet,Elsinore. A room in Elsinore castle.,Act 4,Scene 5
Hamlet,Elsinore. A room in Polonius' house.,Act 1,Scene 3
Hamlet,Elsinore. A room in Polonius' house.,Act 2,Scene 1
Hamlet,Elsinore. A room of state in the castle.,Act 1,Scene 2
Hamlet,Elsinore. Another part of the platform before Elsinore castle.,Act 1,Scene 5
Hamlet,Elsinore. Another room in Elsinore castle.,Act 4,Scene 2
Hamlet,Elsinore. Another room in Elsinore castle.,Act 4,Scene 3
Hamlet,Elsinore. Another room in Elsinore castle.,Act 4,Scene 6
Hamlet,Elsinore. Another room in Elsinore castle.,Act 4,Scene 7
Hamlet,Elsinore. The Queen's room in Elsinore castle.,Act 3,Scene 4
Hamlet,Near Elsinore. A plain in Denmark.,Act 4,Scene 4
"Henry IV, Pt. 1",A highway near Gadshill.,Act 2,Scene 2
"Henry IV, Pt. 1",A public road near Coventry.,Act 4,Scene 2
"Henry IV, Pt. 1",Another part of the field.,Act 5,Scene 4
"Henry IV, Pt. 1",Another part of the field.,Act 5,Scene 5
"Henry IV, Pt. 1",Eastcheap. The Boar's Head Tavern.,Act 2,Scene 4
"Henry IV, Pt. 1",Eastcheap. The Boar's Head Tavern.,Act 3,Scene 3
"Henry IV, Pt. 1",King Henry IV's camp near Shrewsbury.,Act 5,Scene 1
"Henry IV, Pt. 1",London. An apartment of the Prince's.,Act 1,Scene 2
"Henry IV, Pt. 1",London. The palace.,Act 1,Scene 1
"Henry IV, Pt. 1",London. The palace.,Act 1,Scene 3
"Henry IV, Pt. 1",London. The palace.,Act 3,Scene 2
"Henry IV, Pt. 1",Rochester. An inn yard.,Act 2,Scene 1
"Henry IV, Pt. 1",The plain between the camps.,Act 5,Scene 3
"Henry IV, Pt. 1",The rebel camp near Shrewsbury.,Act 4,Scene 1
"Henry IV, Pt. 1",The rebel camp near Shrewsbury.,Act 4,Scene 3
"Henry IV, Pt. 1",The rebel camp.,Act 5,Scene 2
"Henry IV, Pt. 1",Wales. Glendower's castle.,Act 3,Scene 1
"Henry IV, Pt. 1",Warkworth castle.,Act 2,Scene 3
"Henry IV, Pt. 1",York. The Archbishop's palace.,Act 4,Scene 4
"Henry IV, Pt. 2",Gloucestershire. Court before Shallow's house.,Act 3,Scene 2
"Henry IV, Pt. 2",Gloucestershire. Shallow's house.,Act 5,Scene 1
"Henry IV, Pt. 2",Gloucestershire. Shallow's orchard.,Act 5,Scene 3
"Henry IV, Pt. 2",Jerusalem Chamber in Westminster.,Act 4,Scene 4
"Henry IV, Pt. 2",London. A street.,Act 1,Scene 2
"Henry IV, Pt. 2",London. A street.,Act 2,Scene 1
"Henry IV, Pt. 2",London. A street.,Act 5,Scene 4
"Henry IV, Pt. 2",London. Another street.,Act 2,Scene 2
"Henry IV, Pt. 2",London. The Boar's Head Tavern in Eastcheap.,Act 2,Scene 4
"Henry IV, Pt. 2",Warkworth. Before Northumberland's castle.,Act 1,Scene 1
"Henry IV, Pt. 2",Warkworth. Before Northumberland's castle.,Act 2,Scene 3
"Henry IV, Pt. 2",Westminster. A palace room.,Act 3,Scene 1
"Henry IV, Pt. 2",Westminster. A palace room.,Act 5,Scene 2
"Henry IV, Pt. 2",Westminster. Near the Abbey.,Act 5,Scene 5
"Henry IV, Pt. 2",Westminster. The Jerusalem Chamber.,Act 4,Scene 5
"Henry IV, Pt. 2",York. A room in the Archbishop's palace.,Act 1,Scene 3
"Henry IV, Pt. 2",Yorkshire. Another part of the Forest of Gaultree.,Act 4,Scene 2
"Henry IV, Pt. 2",Yorkshire. Another part of the Forest of Gaultree.,Act 4,Scene 3
"Henry IV, Pt. 2",Yorkshire. Within the Forest of Gaultree.,Act 4,Scene 1
Henry V,Agincourt. The English camp.,Act 4,Scene 1
Henry V,Agincourt. The English camp.,Act 4,Scene 3
Henry V,Agincourt. The French camp.,Act 3,Scene 7
Henry V,Another part of the battlefield.,Act 4,Scene 5
Henry V,Another part of the battlefield.,Act 4,Scene 6
Henry V,Another part of the battlefield.,Act 4,Scene 7
Henry V,Before King Henry's pavilion.,Act 4,Scene 8
Henry V,France. An apartment in the King's palace.,Act 2,Scene 4
Henry V,France. Before Harfleur.,Act 3,Scene 1
Henry V,France. Before Harfleur.,Act 3,Scene 2
Henry V,France. Before the Harfleur Gates.,Act 3,Scene 3
Henry V,France. The English Court of Guard.,Act 5,Scene 1
Henry V,France. The French King's apartment in Troyes.,Act 5,Scene 2
Henry V,London. A street in Eastcheap.,Act 2,Scene 1
Henry V,London. Antechamber in the King's Palace.,Act 1,Scene 1
Henry V,London. Before a tavern in Eastcheap.,Act 2,Scene 3
