title,location,act,scene
Midsummer Night's Dream,Athens. A room in the palace of Theseus.,Act 1,Scene 1
Midsummer Night's Dream,Athens. A room in the palace of Theseus.,Act 5,Scene 1
Midsummer Night's Dream,In the woods near Athens.,Act 2,Scene 1
Midsummer Night's Dream,In the woods.,Act 3,Scene 1
Much Ado About Nothing,A hall in Leonato's house.,Act 1,Scene 3
Much Ado About Nothing,A hall in Leonato's house.,Act 2,Scene 1
Much Ado About Nothing,A room in Leonato's house.,Act 1,Scene 2
Much Ado About Nothing,A room in Leonato's house.,Act 3,Scene 2
Much Ado About Nothing,A room in Leonato's house.,Act 5,Scene 4
Much Ado About Nothing,Another room in Leonato's house.,Act 2,Scene 2
Much Ado About Nothing,Another room in Leonato's house.,Act 3,Scene 5
Much Ado About Nothing,Before Leonato's house.,Act 5,Scene 1
Much Ado About Nothing,Hero's apartment.,Act 3,Scene 4
Much Ado About Nothing,Leonato's garden.,Act 3,Scene 1
Much Ado About Nothing,Leonato's garden.,Act 5,Scene 2
Much Ado About Nothing,Leonato's orchard.,Act 2,Scene 3
Much Ado About Nothing,Messina. A prison.,Act 4,Scene 2
Much Ado About Nothing,Messina. A street.,Act 3,Scene 3
Much Ado About Nothing,Messina. Before Leonato's house.,Act 1,Scene 1
Much Ado About Nothing,Messina. Inside a church.,Act 4,Scene 1
Much Ado About Nothing,Messina. Inside a church.,Act 5,Scene 3
Othello,A bedchamber in the castle.,Act 5,Scene 2
Othello,A sea port in Cyprus.,Act 2,Scene 1
Othello,Cyprus. A room in the castle.,Act 3,Scene 2
Othello,Cyprus. A room in the castle.,Act 4,Scene 2
Othello,Cyprus. A street.,Act 5,Scene 1
Othello,Cyprus. Another room in the castle.,Act 4,Scene 3
Othello,Cyprus. Before the castle.,Act 3,Scene 1
Othello,Cyprus. Before the castle.,Act 3,Scene 4
Othello,Cyprus. Before the castle.,Act 4,Scene 1
Othello,Cyprus. The garden of the castle.,Act 3,Scene 3
Othello,Venice. A castle hall.,Act 2,Scene 3
Othello,Venice. A council chamber.,Act 1,Scene 3
Othello,Venice. A street.,Act 1,Scene 1
Othello,Venice. A street.,Act 2,Scene 2
Othello,Venice. Another street.,Act 1,Scene 2
Pericles,Antioch (Syria). A room in the palace.,Act 1,Scene 1
Pericles,Ephesus. A room in Cerimon's house.,Act 3,Scene 2
Pericles,Ephesus. A room in Cerimon's house.,Act 3,Scene 4
Pericles,Ephesus. Before the temple of Diana.,Act 5,Scene 2
Pericles,Mytilene. A room in a brothel.,Act 4,Scene 2
Pericles,Mytilene. A room in the brothel.,Act 4,Scene 6
Pericles,Mytilene. A street before the brothel.,Act 4,Scene 5
Pericles,On a ship at sea.,Act 3,Scene 1
Pericles,"On board Pericles's ship, off Mytilene.",Act 5,Scene 1
Pericles,Pentapolis. A hall of state and a banquet.,Act 2,Scene 3
Pericles,"Pentapolis. A public way, or platform leading to the lists. A pavilion by the side of it for the reception of the King, Princess, Lords, etc.",Act 2,Scene 2
Pericles,Pentapolis. A room in the palace.,Act 2,Scene 5
Pericles,Pentapolis. An open place by the seaside.,Act 2,Scene 1
Pericles,Tarsus. A room in Cleon's house.,Act 3,Scene 3
Pericles,Tarsus. A room in Cleon's house.,Act 4,Scene 3
Pericles,Tarsus. A room in the Governor's house.,Act 1,Scene 4
Pericles,Tarsus. An open place near the seashore.,Act 4,Scene 1
Pericles,Tarsus. Before the tomb of Marina.,Act 4,Scene 4
Pericles,The temple of Diana at Ephesus.,Act 5,Scene 3
Pericles,Tyre. A room in the Governor's house.,Act 2,Scene 4
Pericles,Tyre. A room in the palace.,Act 1,Scene 2
Pericles,Tyre. An antechamber in the palace.,Act 1,Scene 3
Richard III,Another part of Bosworth Field.,Act 5,Scene 4
Richard III,Another part of Bosworth Field.,Act 5,Scene 5
Richard III,Baynard's castle.,Act 3,Scene 7
Richard III,Before Lord Hastings' house.,Act 3,Scene 2
Richard III,Bosworth Field.,Act 5,Scene 3
Richard III,London. A street.,Act 1,Scene 1
Richard III,London. A street.,Act 2,Scene 3
Richard III,London. A street.,Act 3,Scene 1
Richard III,London. A street.,Act 3,Scene 6
Richard III,London. Another street.,Act 1,Scene 2
Richard III,London. Before the palace.,Act 4,Scene 4
Richard III,London. The palace.,Act 1,Scene 3
Richard III,London. The palace.,Act 2,Scene 1
Richard III,London. The palace.,Act 2,Scene 2
Richard III,London. The palace.,Act 2,Scene 4
Richard III,London. The palace.,Act 4,Scene 2
Richard III,London. The palace.,Act 4,Scene 3
Richard III,London. The Tower.,Act 1,Scene 4
Richard III,Lord Stanley's house.,Act 4,Scene 5
Richard III,Outside the Tower.,Act 4,Scene 1
Richard III,Pomfret Castle.,Act 3,Scene 3
Richard III,Salisbury. An open place.,Act 5,Scene 1
Richard III,The camp near Tamworth.,Act 5,Scene 2
Richard III,The Tower of London.,Act 3,Scene 4
Richard III,The Tower-walls.,Act 3,Scene 5
Romeo and Juliet,A churchyard; before a tomb belonging to the Capulets.,Act 5,Scene 3
Romeo and Juliet,A hall in Capulet's house.,Act 4,Scene 2
Romeo and Juliet,A hall in Capulet's house.,Act 4,Scene 4
Romeo and Juliet,A lane by the wall of Capulet's orchard.,Act 2,Scene 1
Romeo and Juliet,A room in Capulet's house.,Act 3,Scene 4
Romeo and Juliet,Capulet's orchard and Juliet's chamber.,Act 3,Scene 5
Romeo and Juliet,Capulet's orchard.,Act 2,Scene 2
Romeo and Juliet,Capulet's orchard.,Act 2,Scene 5
Romeo and Juliet,Capulet's orchard.,Act 3,Scene 2
Romeo and Juliet,Friar Lawrence's cell.,Act 2,Scene 3
Romeo and Juliet,Friar Lawrence's cell.,Act 2,Scene 6
Romeo and Juliet,Friar Lawrence's cell.,Act 3,Scene 3
Romeo and Juliet,Friar Lawrence's cell.,Act 4,Scene 1
Romeo and Juliet,Friar Lawrence's cell.,Act 5,Scene 2
Romeo and Juliet,Juliet's chamber.,Act 4,Scene 3
Romeo and Juliet,Juliet's chamber.,Act 4,Scene 5
Romeo and Juliet,Mantua. A street.,Act 5,Scene 1
Romeo and Juliet,Verona. A hall in Capulet's house.,Act 1,Scene 5
Romeo and Juliet,Verona. A public place.,Act 1,Scene 1
Romeo and Juliet,Verona. A room in Capulet's house.,Act 1,Scene 3
Romeo and Juliet,Verona. A street.,Act 1,Scene 2
Romeo and Juliet,Verona. A street.,Act 1,Scene 4
Romeo and Juliet,Verona. A street.,Act 2,Scene 4
Romeo and Juliet,Verona. A street.,Act 3,Scene 1
Sir Thomas More,Cheapside.,Act 2,Scene 1
Sir Thomas More,Cheapside.,Act 2,Scene 5
Sir Thomas More,Chelsea.,Act 4,Scene 2
Sir Thomas More,Chelsea. A room in More's house.,Act 3,Scene 1
Sir Thomas More,Chelsea. A room in More's house.,Act 3,Scene 3
Sir Thomas More,Chelsea. A room in More's house.,Act 4,Scene 4
Sir Thomas More,Chelsea. Antechamber in More's house.,Act 3,Scene 2
Sir Thomas More,London. A state apartment.,Act 1,Scene 3
Sir Thomas More,London. A street.,Act 1,Scene 1
Sir Thomas More,London. The Sessions House.,Act 1,Scene 2
Sir Thomas More,More's house.,Act 5,Scene 2
Sir Thomas More,Saint Martins-le-Grand.,Act 2,Scene 2
Sir Thomas More,St. Martin's Gate.,Act 2,Scene 4
Sir Thomas More,The Guildhall.,Act 2,Scene 3
Sir Thomas More,The Tower Gate.,Act 5,Scene 1
Sir Thomas More,The Tower.,Act 4,Scene 3
Sir Thomas More,The Tower.,Act 5,Scene 3
Sir Thomas More,Tower Hill.,Act 5,Scene 4
Sir Thomas More,Whitehall. The council chamber.,Act 4,Scene 1
Taming of the Shrew,A bedchamber in the Lord's house.,Act 1,Prologue Scene 2
Taming of the Shrew,A public road.,Act 4,Scene 5
Taming of the Shrew,A room in Petruchio's house.,Act 4,Scene 3
Taming of the Shrew,Before an alehouse on a heath.,Act 1,Prologue Scene 1
Taming of the Shrew,Padua. A public square.,Act 1,Scene 1
Taming of the Shrew,Padua. A room in Baptista Minola's house.,Act 2,Scene 1
Taming of the Shrew,Padua. Baptista's house.,Act 3,Scene 1
Taming of the Shrew,Padua. Before Baptista's house.,Act 3,Scene 2
Taming of the Shrew,Padua. Before Baptista's house.,Act 4,Scene 2
Taming of the Shrew,Padua. Before Baptista's house.,Act 4,Scene 4
Taming of the Shrew,Padua. Before Hortensio's house.,Act 1,Scene 2
Taming of the Shrew,Padua. Before Lucentio's house.,Act 5,Scene 1
Taming of the Shrew,Padua. Lucentio's house.,Act 5,Scene 2
Taming of the Shrew,Petruchio's country house.,Act 4,Scene 1
The Tempest,Another part of the island.,Act 2,Scene 1
The Tempest,Another part of the island.,Act 2,Scene 2
The Tempest,Another part of the island.,Act 3,Scene 2
The Tempest,Another part of the island.,Act 3,Scene 3
The Tempest,Before Prospero's cell.,Act 3,Scene 1
The Tempest,Before Prospero's cell.,Act 4,Scene 1
The Tempest,Before Prospero's cell.,Act 5,Scene 1
The Tempest,On a ship at sea.,Act 1,Scene 1
The Tempest,The island. Before Prospero's cell.,Act 1,Scene 2
Timon of Athens,A banqueting-room in Timon's house.,Act 1,Scene 2
Timon of Athens,Athens. A banqueting-room in Timon's house.,Act 3,Scene 6
Timon of Athens,Athens. A hall in Timon's house.,Act 1,Scene 1
Timon of Athens,Athens. A hall in Timon's house.,Act 2,Scene 2
Timon of Athens,Athens. A hall in Timon's house.,Act 3,Scene 4
Timon of Athens,Athens. A public place.,Act 3,Scene 2
Timon of Athens,Athens. A room in a Senator's house.,Act 2,Scene 1
Timon of Athens,Athens. A room in Lucullus' house.,Act 3,Scene 1
Timon of Athens,Athens. A room in Sempronius's house.,Act 3,Scene 3
Timon of Athens,Athens. A room in Timon's house.,Act 4,Scene 2
Timon of Athens,Athens. The Senate House.,Act 3,Scene 5
Timon of Athens,Before the walls of Athens.,Act 5,Scene 2
Timon of Athens,Before the walls of Athens.,Act 5,Scene 4
Timon of Athens,Outside the walls of Athens.,Act 4,Scene 1
Timon of Athens,The woods. A rude tomb near Timon's cave.,Act 5,Scene 3
Timon of Athens,The woods. Before Timon's cave.,Act 5,Scene 1
Timon of Athens,Woods and cave near the seashore.,Act 4,Scene 3
Titus Andronicus,A forest near Rome.,Act 2,Scene 2
Titus Andronicus,A lonely part of the forest.,Act 2,Scene 3
Titus Andronicus,A room in Titus' house.,Act 3,Scene 2
Titus Andronicus,Another part of the forest.,Act 2,Scene 4
Titus Andronicus,Court of Titus's house.,Act 5,Scene 3
Titus Andronicus,Plains near Rome.,Act 5,Scene 1
Titus Andronicus,Rome. A public place.,Act 4,Scene 3
Titus Andronicus,Rome. A room in the palace.,Act 4,Scene 2
Titus Andronicus,Rome. A street.,Act 3,Scene 1
Titus Andronicus,Rome. Before the Capitol.,Act 1,Scene 1
Titus Andronicus,Rome. Before the Palace.,Act 2,Scene 1
Titus Andronicus,Rome. Before the palace.,Act 4,Scene 4
Titus Andronicus,Rome. Before Titus' house.,Act 5,Scene 2
Titus Andronicus,Rome. Titus' garden.,Act 4,Scene 1
Troilus and Cressida,A part of the Grecian camp.,Act 2,Scene 1
Troilus and Cressida,Another part of the plains.,Act 5,Scene 10
Troilus and Cressida,Another part of the plains.,Act 5,Scene 5
Troilus and Cressida,Another part of the plains.,Act 5,Scene 6
Troilus and Cressida,Another part of the plains.,Act 5,Scene 7
Troilus and Cressida,Another part of the plains.,Act 5,Scene 8
Troilus and Cressida,Another part of the plains.,Act 5,Scene 9
Troilus and Cressida,The Grecian camp.,Act 4,Scene 5
Troilus and Cressida,The Grecian camp. Before Achilles' tent.,Act 2,Scene 3
Troilus and Cressida,The Grecian camp. Before Achilles' tent.,Act 3,Scene 3
Troilus and Cressida,The Grecian camp. Before Achilles' tent.,Act 5,Scene 1
Troilus and Cressida,The Grecian camp. Before Agamemnon's tent.,Act 1,Scene 3
Troilus and Cressida,The Grecian camp. Before Calchas's tent.,Act 5,Scene 2
Troilus and Cressida,The plains between Troy and the Grecian camp.,Act 5,Scene 4
Troilus and Cressida,Troy. A court before Pandarus's house.,Act 4,Scene 2
Troilus and Cressida,Troy. A room in Priam's palace.,Act 2,Scene 2
Troilus and Cressida,Troy. A street before Pandarus's house.,Act 4,Scene 3
Troilus and Cressida,Troy. A street.,Act 1,Scene 2
Troilus and Cressida,Troy. A street.,Act 4,Scene 1
Troilus and Cressida,Troy. Before Priam's palace.,Act 1,Scene 1
Troilus and Cressida,Troy. Before Priam's palace.,Act 5,Scene 3
Troilus and Cressida,Troy. Pandarus' orchard.,Act 3,Scene 2
Troilus and Cressida,Troy. Pandarus's House.,Act 4,Scene 4
Troilus and Cressida,Troy. Priam's palace.,Act 3,Scene 1
Twelfth Night,A room in Duke Orsino's palace.,Act 1,Scene 4
Twelfth Night,A room in Duke Orsino's palace.,Act 2,Scene 4
Twelfth Night,A room in Olivia's house.,Act 1,Scene 3
Twelfth Night,A room in Olivia's house.,Act 1,Scene 5
Twelfth Night,A room in Olivia's house.,Act 2,Scene 3
Twelfth Night,A room in Olivia's house.,Act 3,Scene 2
Twelfth Night,A room in Olivia's house.,Act 4,Scene 2
Twelfth Night,A street before Olivia's house.,Act 5,Scene 1
Twelfth Night,"Illyria, A street adjoining Olivia's house.",Act 4,Scene 1
Twelfth Night,Illyria. A room in Duke Orsino's palace.,Act 1,Scene 1
Twelfth Night,Illyria. A street.,Act 2,Scene 2
Twelfth Night,Illyria. A street.,Act 3,Scene 3
Twelfth Night,Olivia's garden.,Act 2,Scene 5
Twelfth Night,Olivia's garden.,Act 3,Scene 1
Twelfth Night,Olivia's garden.,Act 3,Scene 4
Twelfth Night,Olivia's garden.,Act 4,Scene 3
Twelfth Night,The sea coast.,Act 1,Scene 2
Twelfth Night,The sea coast.,Act 2,Scene 1
Two Gentlemen of Verona,Milan. A room in the Duke's palace.,Act 2,Scene 1
Two Gentlemen of Verona,Milan. A room in the Duke's palace.,Act 2,Scene 4
Two Gentlemen of Verona,Milan. A room in the Duke's palace.,Act 2,Scene 6
Two Gentlemen of Verona,Milan. A room in the Duke's palace.,Act 3,Scene 2
Two Gentlemen of Verona,Milan. A room in the Duke's palace.,Act 5,Scene 2
Two Gentlemen of Verona,Milan. A street.,Act 2,Scene 5
Two Gentlemen of Verona,Milan. An abbey.,Act 5,Scene 1
Two Gentlemen of Verona,Milan. An anteroom in the Duke's palace.,Act 3,Scene 1
Two Gentlemen of Verona,Milan. Outside the Duke's palace.,Act 4,Scene 2
Two Gentlemen of Verona,Milan. Outside the Duke's palace.,Act 4,Scene 3
Two Gentlemen of Verona,Milan. Outside the Duke's palace.,Act 4,Scene 4
Two Gentlemen of Verona,The frontiers of Mantua. A forest between Milan and Verona.,Act 4,Scene 1
Two Gentlemen of Verona,The frontiers of Mantua. A forest between Milan and Verona.,Act 5,Scene 3
Two Gentlemen of Verona,The frontiers of Mantua. Another part of the forest between Milan and Verona.,Act 5,Scene 4
Two Gentlemen of Verona,Verona. A room in Antonio's house.,Act 1,Scene 3
Two Gentlemen of Verona,Verona. A room in Julia's house.,Act 2,Scene 2
Two Gentlemen of Verona,Verona. A room in Julia's house.,Act 2,Scene 7
Two Gentlemen of Verona,Verona. A street.,Act 2,Scene 3
Two Gentlemen of Verona,Verona. An open place.,Act 1,Scene 1
Two Gentlemen of Verona,Verona. The garden of Julia's house.,Act 1,Scene 2
Two Noble Kinsmen,A darkened room in the prison.,Act 5,Scene 2
Two Noble Kinsmen,A field before Thebes.,Act 1,Scene 4
Two Noble Kinsmen,A forest near Athens.,Act 3,Scene 1
Two Noble Kinsmen,A place near the Lists.,Act 5,Scene 3
Two Noble Kinsmen,A place near the Lists. A block prepared.,Act 5,Scene 4
Two Noble Kinsmen,A room in the palace.,Act 4,Scene 2
Two Noble Kinsmen,A room in the prison.,Act 4,Scene 3
Two Noble Kinsmen,Another part of a field before Thebes.,Act 1,Scene 5
Two Noble Kinsmen,Another part of the forest near Athens.,Act 3,Scene 2
Two Noble Kinsmen,Another part of the forest near Athens.,Act 3,Scene 3
Two Noble Kinsmen,Another part of the forest near Athens.,Act 3,Scene 4
Two Noble Kinsmen,Another part of the forest near Athens.,Act 3,Scene 5
Two Noble Kinsmen,Another part of the forest near Athens.,Act 3,Scene 6
Two Noble Kinsmen,"Athens. A garden, with a prison in the background.",Act 2,Scene 1
Two Noble Kinsmen,Athens. A room in the prison.,Act 2,Scene 4
Two Noble Kinsmen,Athens. A room in the prison.,Act 4,Scene 1
Two Noble Kinsmen,Athens. An open place.,Act 2,Scene 5
Two Noble Kinsmen,Athens. Before a temple.,Act 1,Scene 1
Two Noble Kinsmen,Athens. Before the prison.,Act 2,Scene 6
Two Noble Kinsmen,Before the gates of Athens.,Act 1,Scene 3
Two Noble Kinsmen,"Before the Temples of Mars, Venus, and Diana.",Act 5,Scene 1
Two Noble Kinsmen,The country near Athens.,Act 2,Scene 3
Two Noble Kinsmen,The prison.,Act 2,Scene 2
Two Noble Kinsmen,Thebes. The palace.,Act 1,Scene 2
Winter's Tale,A chapel in Paulina's house.,Act 5,Scene 3
Winter's Tale,Bohemia. A desert country near the sea.,Act 3,Scene 3
Winter's Tale,Bohemia. A road near the shepherd's cottage.,Act 4,Scene 3
Winter's Tale,Bohemia. A room in the palace of Polixenes.,Act 4,Scene 2
Winter's Tale,Bohemia. A shepherd's cottage.,Act 4,Scene 4
Winter's Tale,Sicilia. A court of justice.,Act 3,Scene 2
Winter's Tale,Sicilia. A room in Leontes' palace.,Act 2,Scene 1
Winter's Tale,Sicilia. A room in Leontes' palace.,Act 2,Scene 3
Winter's Tale,Sicilia. A room of state in Leontes' palace.,Act 1,Scene 2
Winter's Tale,Sicilia. A sea port.,Act 3,Scene 1
Winter's Tale,Sicilia. An antechamber in Leontes' palace.,Act 1,Scene 1
Winter's Tale,Sicilia. The outer room of a prison.,Act 2,Scene 2
Winter's Tale,Sicily. A room in the palace of Leontes.,Act 5,Scene 1
Winter's Tale,Sicily. Before Leontes' palace.,Act 5,Scene 2
